VALIDACAO_ID;BUILD;DATA_HORA;ETAPA;EXECUCAO_ID;OK;FALHA;MANUAL;STATUS;CSV_FALHAS;PRIMEIRA_FALHA;ACAO_IA
VR_20260509_025323;f7aa84f+ONDA23.MD23.5-sexteto-gate;09/05/2026 03:02:36;V1_RAPIDA;BO-20260509-025323;171;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260509_025323;f7aa84f+ONDA23.MD23.5-sexteto-gate;09/05/2026 03:04:24;V2_SMOKE;TV2_20260509_030236;32;0;4;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260509_025323;f7aa84f+ONDA23.MD23.5-sexteto-gate;09/05/2026 03:08:31;V2_CANONICO;TV2_20260509_030424;24;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260509_025323;f7aa84f+ONDA23.MD23.5-sexteto-gate;09/05/2026 03:13:17;V2_E2E_STRIKES;TV2_20260509_030831;75;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260509_025323;f7aa84f+ONDA23.MD23.5-sexteto-gate;09/05/2026 03:13:22;V2_INTEGRIDADE_BASE;TV2_20260509_031317;4;0;1;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260509_025323;f7aa84f+ONDA23.MD23.5-sexteto-gate;09/05/2026 03:13:48;V2_ONDA23_ADV;ADVERSARIAL_UI:TV2_20260509_031322|TRANSACAO_INTERRUPT:TV2_20260509_031332|BOUNDARY_DATES:TV2_20260509_031340;26;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260509_025323;f7aa84f+ONDA23.MD23.5-sexteto-gate;09/05/2026 03:13:48;GERAL;;;;;APROVADO;;;"Sexteto V1+V2_Smoke+V2_Canonica+E2E_Strikes+IntegridadeBase+Onda23Adv; usar como evidencia textual."
