VALIDACAO_ID;BUILD;DATA_HORA;ETAPA;EXECUCAO_ID;OK;FALHA;MANUAL;STATUS;CSV_FALHAS;PRIMEIRA_FALHA;ACAO_IA
VR_20260502_063028;f7aa84f+v12.0.0203-rc1;02/05/2026 06:36:08;V1_RAPIDA;BO-20260502-063028;171;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260502_063028;f7aa84f+v12.0.0203-rc1;02/05/2026 06:37:31;V2_SMOKE;TV2_20260502_063608;14;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260502_063028;f7aa84f+v12.0.0203-rc1;02/05/2026 06:39:51;V2_CANONICO;TV2_20260502_063731;20;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260502_063028;f7aa84f+v12.0.0203-rc1;02/05/2026 06:42:03;V2_E2E_STRIKES;TV2_20260502_063951;64;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260502_063028;f7aa84f+v12.0.0203-rc1;02/05/2026 06:42:03;GERAL;;;;;APROVADO;;;"Quarteto V1+V2_Smoke+V2_Canonica+E2E_Strikes; usar como evidencia textual."
