VALIDACAO_ID;BUILD;DATA_HORA;ETAPA;EXECUCAO_ID;OK;FALHA;MANUAL;STATUS;CSV_FALHAS;PRIMEIRA_FALHA;ACAO_IA
VR_20260504_070441;f7aa84f+ONDA18.MD18.2-statusbar-hint-treinamento;04/05/2026 07:10:26;V1_RAPIDA;BO-20260504-070441;171;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260504_070441;f7aa84f+ONDA18.MD18.2-statusbar-hint-treinamento;04/05/2026 07:11:36;V2_SMOKE;TV2_20260504_071026;27;0;4;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260504_070441;f7aa84f+ONDA18.MD18.2-statusbar-hint-treinamento;04/05/2026 07:14:45;V2_CANONICO;TV2_20260504_071136;23;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260504_070441;f7aa84f+ONDA18.MD18.2-statusbar-hint-treinamento;04/05/2026 07:23:50;V2_E2E_STRIKES;TV2_20260504_071445;71;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260504_070441;f7aa84f+ONDA18.MD18.2-statusbar-hint-treinamento;04/05/2026 07:23:53;V2_INTEGRIDADE_BASE;TV2_20260504_072350;3;0;1;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260504_070441;f7aa84f+ONDA18.MD18.2-statusbar-hint-treinamento;04/05/2026 07:23:53;GERAL;;;;;APROVADO;;;"Quinteto V1+V2_Smoke+V2_Canonica+E2E_Strikes+IntegridadeBase; usar como evidencia textual."
