VALIDACAO_ID;BUILD;DATA_HORA;ETAPA;EXECUCAO_ID;OK;FALHA;MANUAL;STATUS;CSV_FALHAS;PRIMEIRA_FALHA;ACAO_IA
VR_20260503_181718;f7aa84f+ONDA17.MD1D3-hotfix-v1visibility-csvmsg;03/05/2026 18:23:11;V1_RAPIDA;BO-20260503-181718;171;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260503_181718;f7aa84f+ONDA17.MD1D3-hotfix-v1visibility-csvmsg;03/05/2026 18:24:24;V2_SMOKE;TV2_20260503_182311;27;0;4;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260503_181718;f7aa84f+ONDA17.MD1D3-hotfix-v1visibility-csvmsg;03/05/2026 18:27:51;V2_CANONICO;TV2_20260503_182424;23;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260503_181718;f7aa84f+ONDA17.MD1D3-hotfix-v1visibility-csvmsg;03/05/2026 18:31:17;V2_E2E_STRIKES;TV2_20260503_182751;65;0;1;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260503_181718;f7aa84f+ONDA17.MD1D3-hotfix-v1visibility-csvmsg;03/05/2026 18:31:17;GERAL;;;;;APROVADO;;;"Quarteto V1+V2_Smoke+V2_Canonica+E2E_Strikes; usar como evidencia textual."
