VALIDACAO_ID;BUILD;DATA_HORA;ETAPA;EXECUCAO_ID;OK;FALHA;MANUAL;STATUS;CSV_FALHAS;PRIMEIRA_FALHA;ACAO_IA
VR_20260502_034422;f7aa84f+ONDA11.MD2-3-DT3-cleanup-config-incremental;02/05/2026 03:49:48;V1_RAPIDA;BO-20260502-034422;171;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260502_034422;f7aa84f+ONDA11.MD2-3-DT3-cleanup-config-incremental;02/05/2026 03:51:11;V2_SMOKE;TV2_20260502_034948;14;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260502_034422;f7aa84f+ONDA11.MD2-3-DT3-cleanup-config-incremental;02/05/2026 03:53:30;V2_CANONICO;TV2_20260502_035111;20;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260502_034422;f7aa84f+ONDA11.MD2-3-DT3-cleanup-config-incremental;02/05/2026 03:53:30;GERAL;;;;;APROVADO;;;Usar este CSV como evidencia textual da validacao.
