VALIDACAO_ID;BUILD;DATA_HORA;ETAPA;EXECUCAO_ID;OK;FALHA;MANUAL;STATUS;CSV_FALHAS;PRIMEIRA_FALHA;ACAO_IA
VR_20260504_064117;f7aa84f+ONDA18.MD18.3-rpt-bugs-resolvidos;04/05/2026 06:47:08;V1_RAPIDA;BO-20260504-064118;171;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260504_064117;f7aa84f+ONDA18.MD18.3-rpt-bugs-resolvidos;04/05/2026 06:48:21;V2_SMOKE;TV2_20260504_064708;27;0;4;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260504_064117;f7aa84f+ONDA18.MD18.3-rpt-bugs-resolvidos;04/05/2026 06:51:44;V2_CANONICO;TV2_20260504_064821;23;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260504_064117;f7aa84f+ONDA18.MD18.3-rpt-bugs-resolvidos;04/05/2026 06:55:23;V2_E2E_STRIKES;TV2_20260504_065144;71;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260504_064117;f7aa84f+ONDA18.MD18.3-rpt-bugs-resolvidos;04/05/2026 06:55:25;V2_INTEGRIDADE_BASE;TV2_20260504_065523;3;0;1;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260504_064117;f7aa84f+ONDA18.MD18.3-rpt-bugs-resolvidos;04/05/2026 06:55:25;GERAL;;;;;APROVADO;;;"Quinteto V1+V2_Smoke+V2_Canonica+E2E_Strikes+IntegridadeBase; usar como evidencia textual."
