VALIDACAO_ID;BUILD;DATA_HORA;ETAPA;EXECUCAO_ID;OK;FALHA;MANUAL;STATUS;CSV_FALHAS;PRIMEIRA_FALHA;ACAO_IA
VR_20260502_153821;f7aa84f+ONDA16.MD1-central-textos-incremental;02/05/2026 15:43:51;V1_RAPIDA;BO-20260502-153821;171;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260502_153821;f7aa84f+ONDA16.MD1-central-textos-incremental;02/05/2026 15:45:16;V2_SMOKE;TV2_20260502_154351;14;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260502_153821;f7aa84f+ONDA16.MD1-central-textos-incremental;02/05/2026 15:47:34;V2_CANONICO;TV2_20260502_154516;20;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260502_153821;f7aa84f+ONDA16.MD1-central-textos-incremental;02/05/2026 15:49:48;V2_E2E_STRIKES;TV2_20260502_154734;64;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260502_153821;f7aa84f+ONDA16.MD1-central-textos-incremental;02/05/2026 15:49:48;GERAL;;;;;APROVADO;;;"Quarteto V1+V2_Smoke+V2_Canonica+E2E_Strikes; usar como evidencia textual."
