VALIDACAO_ID;BUILD;DATA_HORA;ETAPA;EXECUCAO_ID;OK;FALHA;MANUAL;STATUS;CSV_FALHAS;PRIMEIRA_FALHA;ACAO_IA
VR_20260503_165930;f7aa84f+ONDA17.MD1D1-perf-gamma-conservador;03/05/2026 17:05:20;V1_RAPIDA;BO-20260503-165930;171;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260503_165930;f7aa84f+ONDA17.MD1D1-perf-gamma-conservador;03/05/2026 17:06:32;V2_SMOKE;TV2_20260503_170520;27;0;4;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260503_165930;f7aa84f+ONDA17.MD1D1-perf-gamma-conservador;03/05/2026 17:09:46;V2_CANONICO;TV2_20260503_170632;23;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260503_165930;f7aa84f+ONDA17.MD1D1-perf-gamma-conservador;03/05/2026 17:13:01;V2_E2E_STRIKES;TV2_20260503_170946;65;0;1;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260503_165930;f7aa84f+ONDA17.MD1D1-perf-gamma-conservador;03/05/2026 17:13:01;GERAL;;;;;APROVADO;;;"Quarteto V1+V2_Smoke+V2_Canonica+E2E_Strikes; usar como evidencia textual."
