VALIDACAO_ID;BUILD;DATA_HORA;ETAPA;EXECUCAO_ID;OK;FALHA;MANUAL;STATUS;CSV_FALHAS;PRIMEIRA_FALHA;ACAO_IA
VR_20260503_010329;f7aa84f+ONDA17.MD1A-fixture-factory-namespacing;03/05/2026 01:09:05;V1_RAPIDA;BO-20260503-010329;171;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260503_010329;f7aa84f+ONDA17.MD1A-fixture-factory-namespacing;03/05/2026 01:10:29;V2_SMOKE;TV2_20260503_010905;14;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260503_010329;f7aa84f+ONDA17.MD1A-fixture-factory-namespacing;03/05/2026 01:12:50;V2_CANONICO;TV2_20260503_011029;20;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260503_010329;f7aa84f+ONDA17.MD1A-fixture-factory-namespacing;03/05/2026 01:15:07;V2_E2E_STRIKES;TV2_20260503_011250;64;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260503_010329;f7aa84f+ONDA17.MD1A-fixture-factory-namespacing;03/05/2026 01:15:07;GERAL;;;;;APROVADO;;;"Quarteto V1+V2_Smoke+V2_Canonica+E2E_Strikes; usar como evidencia textual."
