VALIDACAO_ID;BUILD;DATA_HORA;ETAPA;EXECUCAO_ID;OK;FALHA;MANUAL;STATUS;CSV_FALHAS;PRIMEIRA_FALHA;ACAO_IA
VR_20260506_163217;f7aa84f+ONDA22.MD22.2-ref-orfa-cad-os;06/05/2026 16:39:25;V1_RAPIDA;BO-20260506-163217;171;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260506_163217;f7aa84f+ONDA22.MD22.2-ref-orfa-cad-os;06/05/2026 16:41:05;V2_SMOKE;TV2_20260506_163925;31;0;4;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260506_163217;f7aa84f+ONDA22.MD22.2-ref-orfa-cad-os;06/05/2026 16:45:12;V2_CANONICO;TV2_20260506_164105;24;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260506_163217;f7aa84f+ONDA22.MD22.2-ref-orfa-cad-os;06/05/2026 20:03:47;V2_E2E_STRIKES;TV2_20260506_164512;71;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260506_163217;f7aa84f+ONDA22.MD22.2-ref-orfa-cad-os;06/05/2026 20:03:52;V2_INTEGRIDADE_BASE;TV2_20260506_200347;3;0;1;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260506_163217;f7aa84f+ONDA22.MD22.2-ref-orfa-cad-os;06/05/2026 20:03:52;GERAL;;;;;APROVADO;;;"Quinteto V1+V2_Smoke+V2_Canonica+E2E_Strikes+IntegridadeBase; usar como evidencia textual."
