VALIDACAO_ID;BUILD;DATA_HORA;ETAPA;EXECUCAO_ID;OK;FALHA;MANUAL;STATUS;CSV_FALHAS;PRIMEIRA_FALHA;ACAO_IA
VR_20260501_180949;f7aa84f+ONDA10.MICRO01-Repo_Avaliacao-incremental;01/05/2026 18:15:10;V1_RAPIDA;BO-20260501-180949;171;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260501_180949;f7aa84f+ONDA10.MICRO01-Repo_Avaliacao-incremental;01/05/2026 18:16:37;V2_SMOKE;TV2_20260501_181510;14;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260501_180949;f7aa84f+ONDA10.MICRO01-Repo_Avaliacao-incremental;01/05/2026 18:18:57;V2_CANONICO;TV2_20260501_181637;20;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260501_180949;f7aa84f+ONDA10.MICRO01-Repo_Avaliacao-incremental;01/05/2026 18:18:57;GERAL;;;;;APROVADO;;;Usar este CSV como evidencia textual da validacao.
