VALIDACAO_ID;BUILD;DATA_HORA;ETAPA;EXECUCAO_ID;OK;FALHA;MANUAL;STATUS;CSV_FALHAS;PRIMEIRA_FALHA;ACAO_IA
VR_20260503_202623;f7aa84f+ONDA17.MD1E-menu-renumeracao-limpeza-c3;03/05/2026 20:32:17;V1_RAPIDA;BO-20260503-202624;171;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260503_202623;f7aa84f+ONDA17.MD1E-menu-renumeracao-limpeza-c3;03/05/2026 20:33:30;V2_SMOKE;TV2_20260503_203217;27;0;4;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260503_202623;f7aa84f+ONDA17.MD1E-menu-renumeracao-limpeza-c3;03/05/2026 20:36:52;V2_CANONICO;TV2_20260503_203330;23;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260503_202623;f7aa84f+ONDA17.MD1E-menu-renumeracao-limpeza-c3;03/05/2026 20:42:38;V2_E2E_STRIKES;TV2_20260503_203652;65;0;1;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260503_202623;f7aa84f+ONDA17.MD1E-menu-renumeracao-limpeza-c3;03/05/2026 20:42:38;GERAL;;;;;APROVADO;;;"Quarteto V1+V2_Smoke+V2_Canonica+E2E_Strikes; usar como evidencia textual."
