VALIDACAO_ID;BUILD;DATA_HORA;ETAPA;EXECUCAO_ID;OK;FALHA;MANUAL;STATUS;CSV_FALHAS;PRIMEIRA_FALHA;ACAO_IA
VR_20260505_213722;f7aa84f+ONDA21.MD21.5-emitir-os-rollback-fix3;05/05/2026 21:43:07;V1_RAPIDA;BO-20260505-213722;171;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260505_213722;f7aa84f+ONDA21.MD21.5-emitir-os-rollback-fix3;05/05/2026 21:44:18;V2_SMOKE;TV2_20260505_214307;28;0;4;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260505_213722;f7aa84f+ONDA21.MD21.5-emitir-os-rollback-fix3;05/05/2026 21:47:40;V2_CANONICO;TV2_20260505_214418;24;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260505_213722;f7aa84f+ONDA21.MD21.5-emitir-os-rollback-fix3;05/05/2026 21:51:16;V2_E2E_STRIKES;TV2_20260505_214740;71;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260505_213722;f7aa84f+ONDA21.MD21.5-emitir-os-rollback-fix3;05/05/2026 21:51:18;V2_INTEGRIDADE_BASE;TV2_20260505_215116;3;0;1;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260505_213722;f7aa84f+ONDA21.MD21.5-emitir-os-rollback-fix3;05/05/2026 21:51:18;GERAL;;;;;APROVADO;;;"Quinteto V1+V2_Smoke+V2_Canonica+E2E_Strikes+IntegridadeBase; usar como evidencia textual."
