VALIDACAO_ID;BUILD;DATA_HORA;ETAPA;EXECUCAO_ID;OK;FALHA;MANUAL;STATUS;CSV_FALHAS;PRIMEIRA_FALHA;ACAO_IA
VR_20260601_204217;fd45a5d+ONDA38.2.6-IMPRESSAO-INTEGRIDADE;01/06/2026 20:51:47;V1_RAPIDA;BO-20260601-204217;167;4;0;FALHA;\\Mac\Home\Projetos\Credenciamento\BateriaOficial_Falhas_20260601_205147.csv;"TESTE=BO_330c_NotaMin_4_Suspende; ESPERADO=Media 4 conclui OS e SUSPENDE (4 < 5); OBTIDO=CONCLUIDA | EMP03=ATIVA | MSG=OS 001 avaliada. MEDIA=4,00; IMPORTANCIA=Validar regra: media abaixo da nota minima suspende empresa";Corrigir a falha da V1 indicada em PRIMEIRA_FALHA e reexecutar o trio minimo.
VR_20260601_204217;fd45a5d+ONDA38.2.6-IMPRESSAO-INTEGRIDADE;01/06/2026 20:54:28;V2_SMOKE;TV2_20260601_205147;34;0;4;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260601_204217;fd45a5d+ONDA38.2.6-IMPRESSAO-INTEGRIDADE;01/06/2026 21:00:46;V2_CANONICO;TV2_20260601_205428;24;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260601_204217;fd45a5d+ONDA38.2.6-IMPRESSAO-INTEGRIDADE;01/06/2026 21:00:46;GERAL;;;;;REPROVADO;;;Usar este CSV como evidencia textual da validacao.
