VALIDACAO_ID;BUILD;DATA_HORA;ETAPA;EXECUCAO_ID;OK;FALHA;MANUAL;STATUS;CSV_FALHAS;PRIMEIRA_FALHA;ACAO_IA
VR_20260528_090314;35217c0+ONDA38.2.3-A4-F2-FORMS;28/05/2026 09:17:38;V1_RAPIDA;BO-20260528-090314;171;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260528_090314;35217c0+ONDA38.2.3-A4-F2-FORMS;28/05/2026 09:21:37;V2_SMOKE;TV2_20260528_091738;34;0;4;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260528_090314;35217c0+ONDA38.2.3-A4-F2-FORMS;28/05/2026 09:27:34;V2_CANONICO;TV2_20260528_092137;24;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260528_090314;35217c0+ONDA38.2.3-A4-F2-FORMS;28/05/2026 09:32:55;V2_E2E_STRIKES;TV2_20260528_092734;76;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260528_090314;35217c0+ONDA38.2.3-A4-F2-FORMS;28/05/2026 09:33:10;V2_INTEGRIDADE_BASE;TV2_20260528_093255;4;0;1;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260528_090314;35217c0+ONDA38.2.3-A4-F2-FORMS;28/05/2026 09:33:50;V2_ONDA23_ADV;ADVERSARIAL_UI:TV2_20260528_093310|TRANSACAO_INTERRUPT:TV2_20260528_093322|BOUNDARY_DATES:TV2_20260528_093338;27;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260528_090314;35217c0+ONDA38.2.3-A4-F2-FORMS;28/05/2026 09:33:51;GERAL;;;;;APROVADO;;;"RVS V1+V2_Smoke+V2_Canonica+E2E_Strikes+IntegridadeBase+Onda23Adv; usar como evidencia textual."
