VALIDACAO_ID;BUILD;DATA_HORA;ETAPA;EXECUCAO_ID;OK;FALHA;MANUAL;STATUS;CSV_FALHAS;PRIMEIRA_FALHA;ACAO_IA
VR_20260527_201159;a51b191+ONDA38.2.2-V206-FREEZE;27/05/2026 20:19:25;V1_RAPIDA;BO-20260527-201159;171;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260527_201159;a51b191+ONDA38.2.2-V206-FREEZE;27/05/2026 20:21:13;V2_SMOKE;TV2_20260527_201925;34;0;4;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260527_201159;a51b191+ONDA38.2.2-V206-FREEZE;27/05/2026 20:25:18;V2_CANONICO;TV2_20260527_202113;24;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260527_201159;a51b191+ONDA38.2.2-V206-FREEZE;27/05/2026 20:29:47;V2_E2E_STRIKES;TV2_20260527_202518;65;11;0;FALHA;\\Mac\Home\Projetos\Credenciamento\TesteV2_STRIKES_E2E_Falhas_TV2_20260527_202518.csv;"CENARIO=DIAG_PREOS_INTEGRITY; OBJETIVO=EMP preselecionada deve coincidir com EMP gravada em PRE_OS; ESPERADO=EMP=001; OBTIDO=EMP_PRESEL=001 EMP_PREOS=1; SIGNIFICADO=Detecta dupla selecao divergente entre observador e EmitirPreOS interno";Corrigir o cenario V2 indicado em PRIMEIRA_FALHA e reexecutar o trio minimo.
VR_20260527_201159;a51b191+ONDA38.2.2-V206-FREEZE;27/05/2026 20:29:51;V2_INTEGRIDADE_BASE;TV2_20260527_202947;4;0;1;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260527_201159;a51b191+ONDA38.2.2-V206-FREEZE;27/05/2026 20:30:10;V2_ONDA23_ADV;ADVERSARIAL_UI:TV2_20260527_202951|TRANSACAO_INTERRUPT:TV2_20260527_202957|BOUNDARY_DATES:TV2_20260527_203004;27;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260527_201159;a51b191+ONDA38.2.2-V206-FREEZE;27/05/2026 20:30:10;GERAL;;;;;REPROVADO;;;"RVS V1+V2_Smoke+V2_Canonica+E2E_Strikes+IntegridadeBase+Onda23Adv; usar como evidencia textual."
