VALIDACAO_ID;BUILD;DATA_HORA;ETAPA;EXECUCAO_ID;OK;FALHA;MANUAL;STATUS;CSV_FALHAS;PRIMEIRA_FALHA;ACAO_IA
VR_20260527_085514;a51b191+ONDA38.2.2-V206-FREEZE;27/05/2026 09:05:12;V1_RAPIDA;BO-20260527-085514;171;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260527_085514;a51b191+ONDA38.2.2-V206-FREEZE;27/05/2026 09:06:48;V2_SMOKE;TV2_20260527_090512;32;2;4;FALHA;\\Mac\Home\Projetos\Credenciamento\TesteV2_SMOKE_Falhas_TV2_20260527_090512.csv;"CENARIO=CS_UISMOKE_Cadastro_Servico_V4; OBJETIVO=Comparacao .frm <-> .code-only.txt (gamma) Cadastro_Servico; ESPERADO=Normalizacao gamma identica; OBTIDO=DIVERGE: len_frm=9307 len_co=9179; SIGNIFICADO=Drift estrutural alem do cosmetico - investigar manualmente";Corrigir o cenario V2 indicado em PRIMEIRA_FALHA e reexecutar o trio minimo.
VR_20260527_085514;a51b191+ONDA38.2.2-V206-FREEZE;27/05/2026 09:10:15;V2_CANONICO;TV2_20260527_090648;24;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260527_085514;a51b191+ONDA38.2.2-V206-FREEZE;27/05/2026 09:14:06;V2_E2E_STRIKES;TV2_20260527_091015;65;11;0;FALHA;\\Mac\Home\Projetos\Credenciamento\TesteV2_STRIKES_E2E_Falhas_TV2_20260527_091015.csv;"CENARIO=DIAG_PREOS_INTEGRITY; OBJETIVO=EMP preselecionada deve coincidir com EMP gravada em PRE_OS; ESPERADO=EMP=001; OBTIDO=EMP_PRESEL=001 EMP_PREOS=1; SIGNIFICADO=Detecta dupla selecao divergente entre observador e EmitirPreOS interno";Corrigir o cenario V2 indicado em PRIMEIRA_FALHA e reexecutar o trio minimo.
VR_20260527_085514;a51b191+ONDA38.2.2-V206-FREEZE;27/05/2026 09:14:10;V2_INTEGRIDADE_BASE;TV2_20260527_091406;4;0;1;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260527_085514;a51b191+ONDA38.2.2-V206-FREEZE;27/05/2026 09:14:24;V2_ONDA23_ADV;ADVERSARIAL_UI:TV2_20260527_091410|TRANSACAO_INTERRUPT:TV2_20260527_091415|BOUNDARY_DATES:TV2_20260527_091420;27;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260527_085514;a51b191+ONDA38.2.2-V206-FREEZE;27/05/2026 09:14:24;GERAL;;;;;REPROVADO;;;"RVS V1+V2_Smoke+V2_Canonica+E2E_Strikes+IntegridadeBase+Onda23Adv; usar como evidencia textual."
