VALIDACAO_ID;BUILD;DATA_HORA;ETAPA;EXECUCAO_ID;OK;FALHA;MANUAL;STATUS;CSV_FALHAS;PRIMEIRA_FALHA;ACAO_IA
VR_20260526_102200;ad5b487+ONDA38.2.1-AR1-FIX2-PERF;26/05/2026 10:32:25;V1_RAPIDA;BO-20260526-102200;171;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260526_102200;ad5b487+ONDA38.2.1-AR1-FIX2-PERF;26/05/2026 10:35:07;V2_SMOKE;TV2_20260526_103225;34;0;4;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260526_102200;ad5b487+ONDA38.2.1-AR1-FIX2-PERF;26/05/2026 10:40:34;V2_CANONICO;TV2_20260526_103507;24;0;0;OK;NAO_EXPORTADO;;Sem acao corretiva.
VR_20260526_102200;ad5b487+ONDA38.2.1-AR1-FIX2-PERF;26/05/2026 10:40:34;GERAL;;;;;APROVADO;;;Usar este CSV como evidencia textual da validacao.
