path_src_vba,sha256_src,path_export_v5,sha256_v5,classe
src/vba/Rel_Emp_Serv.frx,8f833d4a16170a7c6c31143a95a57291e3bbc53d4741dfca6f390093a52c213c,local-ai/incoming/V206_ANCHOR_V5_20260524/Rel_Emp_Serv.frx,3e0cb872283c6072ab8dd796f9a6e1c3ee74680e3066dd77af28ac862563b9d4,drift_export_benigno
src/vba/Rel_OSEmpresa.frm,b5040d5a72bd486a080e4bb4427009dbe1bb8192a371c12f4941b79a66ed244d,local-ai/incoming/V206_ANCHOR_V5_20260524/Rel_OSEmpresa.frm,b5040d5a72bd486a080e4bb4427009dbe1bb8192a371c12f4941b79a66ed244d,drift_export_benigno
src/vba/Rel_OSEmpresa.frx,e8b819f4b6f73fa06125bffb2c16a16e7977d7f78cb4a71454b609904ca1de45,local-ai/incoming/V206_ANCHOR_V5_20260524/Rel_OSEmpresa.frx,828dfc02354d9500b54d6bd6c2c90932431f74d809abe54427c4a312107a6347,drift_export_benigno
src/vba/Repo_Avaliacao.bas,0fe418880ce973bdf44b29a3f9ad96c16f79d06accdb5d0ec272c75d7905b263,local-ai/incoming/V206_ANCHOR_V5_20260524/Repo_Avaliacao.bas,4b646808d7cecbfd8dfa3fd5a2c3b17c9eb79c10f018ad152f323788152b80bd,diferenca_funcional
src/vba/Repo_Credenciamento.bas,b2bda894227ab09343ed645ab48ea18ad143cf5ffcbae7756e504410fb8985bf,local-ai/incoming/V206_ANCHOR_V5_20260524/Repo_Credenciamento.bas,d87894cc8c6233e5dfb222b51f0e0c4f1b9299b06e056a3499084f22cf35b6fe,diferenca_funcional
src/vba/Repo_Empresa.bas,06117fa26341b6a3df643bcd80d52994b782db048be6de490ad6c98bb94a2cbc,local-ai/incoming/V206_ANCHOR_V5_20260524/Repo_Empresa.bas,7418ff8c87e4572afc2a80cc0f9657dd28168554227ff685a354797ef1f16468,diferenca_funcional
src/vba/Repo_OS.bas,c281ea88b01707fcc0595d450e7d9da3962a84321af6eeb978268c393b8b1692,local-ai/incoming/V206_ANCHOR_V5_20260524/Repo_OS.bas,7d015e26f6dc350a84e2742b227979570f063cd8df63d18016d064d582effe63,diferenca_funcional
src/vba/Repo_PreOS.bas,075a91ba013e004d125e4ac08174a6b4a800e7f2b28af2649a61988085a444c7,local-ai/incoming/V206_ANCHOR_V5_20260524/Repo_PreOS.bas,fcf76be1ea4b43b11d095e64989589505962b3cdced621f53b32b670516f1919,diferenca_funcional
src/vba/Svc_Avaliacao.bas,7f86249695eafb95fa6c813f036c4dd72257c80d18709e133ba636e65659caa9,local-ai/incoming/V206_ANCHOR_V5_20260524/Svc_Avaliacao.bas,57e3a5e5f2dc8ab7539e28cd875d1172155229d2b53a4cc76cdd14dac158c4a1,diferenca_funcional
src/vba/Svc_Entidade.bas,e168898fe48726eae5d7e0f46421c56b67935cdb37930b87bab6af545ce44a2c,local-ai/incoming/V206_ANCHOR_V5_20260524/Svc_Entidade.bas,54fcf513e9b8b3638c8cb6930886aeaf0cf298f3cc0aa9b61dd990eba14f7b95,diferenca_funcional
src/vba/Svc_OS.bas,d39d218046ad5de8ae5211c5e0d8cd3f6523d3fdfcdcdd4d156b1cb8f2eb96a3,local-ai/incoming/V206_ANCHOR_V5_20260524/Svc_OS.bas,84ffc03e54de5d2933cf2bc47297edd31735bbf9e35686162cd1fd6c7578587f,diferenca_funcional
src/vba/Svc_PreOS.bas,56c3f8287522e28484d34618b9a8e65a036c930651fb42e32bbacd3c07a7fd6e,local-ai/incoming/V206_ANCHOR_V5_20260524/Svc_PreOS.bas,b2b6ad54ce8c3f032b34209001fb5f47db0e758f0a3e25f6a1ea1de5d22aea99,diferenca_funcional
src/vba/Svc_Rodizio.bas,86a65ed92cb174e1c2180db2b83b2d62eaf467d9d05fbe8a15a7ce1bf373f195,local-ai/incoming/V206_ANCHOR_V5_20260524/Svc_Rodizio.bas,6b1acc3e09a23ab67f1198e07909a19b26e6aebef7d675f2905988324dab7ff7,diferenca_funcional
src/vba/Svc_Transacao.bas,21a26358a9df9ca005710b8d1dc34496a1f64117c056e8bf4bb1479d942d1a27,local-ai/incoming/V206_ANCHOR_V5_20260524/Svc_Transacao.bas,7adf921ad05c4cc96c95bfc90e9edcb574e6d9d7cdfda657db088ca9b6397f8b,diferenca_funcional
src/vba/Teste_Bateria_Oficial.bas,b9e34f8c7cb884e26a9aef165984fbfdcafdabe881be19d3bccee00bdc337535,local-ai/incoming/V206_ANCHOR_V5_20260524/Teste_Bateria_Oficial.bas,08509a81996ed7538e3d2562a75477607fbff5216c97c7f029411b8333e87dfd,diferenca_funcional
src/vba/Teste_UI_Guiado.bas,2a6badeedd0527b5fa6ebe482adebe9b5cce621e637cf8625aa0de3451108776,local-ai/incoming/V206_ANCHOR_V5_20260524/Teste_UI_Guiado.bas,1171980af89e9e3c2554ee2b24162606d960684b01eb90496f203bbf68de9305,diferenca_funcional
src/vba/Teste_V2_Engine.bas,3d7baa8781bca1b1e2adc1e4001e9d0744c887b9596274432c662be002f7509b,local-ai/incoming/V206_ANCHOR_V5_20260524/Teste_V2_Engine.bas,a198f842a66487612a83633d921173038c9e3128e318b51cdffdd704b50c6cfc,diferenca_funcional
src/vba/Teste_V2_Roteiros.bas,107a4f0bee5a1e2087f4a0aee24b1509d93d1929dd1bce1ef7e3016714abf017,local-ai/incoming/V206_ANCHOR_V5_20260524/Teste_V2_Roteiros.bas,a841d57d525283fa622a2b91af118bb62cb9c307c9cf62851d08d61af80d06ef,diferenca_funcional
src/vba/Teste_Validacao_Release.bas,f3bad2176aec38b89fe3c3ca8f3ab47c89e562c87f78878f6bdc4c44f3e7d105,local-ai/incoming/V206_ANCHOR_V5_20260524/Teste_Validacao_Release.bas,1b63cce66c2eb1eb85edf9ac2a9f512a2e659d80508a87dca48859cdee93ec98,diferenca_funcional
src/vba/Treinamento_Painel.bas,afe788eb30d13aabe1d3d9a76855b6d6221311aa1153a2539fd5b93e41d71f35,local-ai/incoming/V206_ANCHOR_V5_20260524/Treinamento_Painel.bas,7d559d0ee6c75007ea0d655bdc22d6d45e309c585da8037a159aace7cbb3e416,diferenca_funcional
src/vba/Util_Config.bas,1c8fba9b244e1a4f9b6ffb63524ec00e81e2f6747fb4269c3c79ad5c80856e1b,local-ai/incoming/V206_ANCHOR_V5_20260524/Util_Config.bas,7507ce58fa01dd8298bbd7b23463eada582f3cc8e40a4bc0e48da7cb9b8ada6f,diferenca_funcional
src/vba/Util_Conversao.bas,9af9f2bef77125304f11e74f1012631e15d7d35d0b54b085d9f08af31e2f193f,local-ai/incoming/V206_ANCHOR_V5_20260524/Util_Conversao.bas,33ed3ca01376238a607630033e771047c467e2f0066aa525ccfa7659a09e038b,diferenca_funcional
src/vba/Util_Evolucao.bas,5bc2cdf67989c6d09303cc3f4c5b3a7f94dfea81ac0ac98ab78114ac709d6bcf,local-ai/incoming/V206_ANCHOR_V5_20260524/Util_Evolucao.bas,5bc2cdf67989c6d09303cc3f4c5b3a7f94dfea81ac0ac98ab78114ac709d6bcf,drift_export_benigno
src/vba/Util_Filtro_Lista.bas,9968947285d298b00e70b11166f676faf3156b61b438d040c0f98e55ef9664e1,local-ai/incoming/V206_ANCHOR_V5_20260524/Util_Filtro_Lista.bas,9968947285d298b00e70b11166f676faf3156b61b438d040c0f98e55ef9664e1,drift_export_benigno
src/vba/Util_Planilha.bas,287778a9b1be124e1a30b44fa191d358f7a7730c6fde5694f186e9d338a2764b,local-ai/incoming/V206_ANCHOR_V5_20260524/Util_Planilha.bas,287778a9b1be124e1a30b44fa191d358f7a7730c6fde5694f186e9d338a2764b,drift_export_benigno
src/vba/Variaveis.bas,1483991ada3fdb2f1572044f24a62a147070b80009bf0689622efa5892b93f7b,local-ai/incoming/V206_ANCHOR_V5_20260524/Variaveis.bas,23f78953c4a5d99be64fc2397aea2fbfd93cfb3094e087ce12aeefcfdd1c90d1,diferenca_funcional
