ID,CNAE,DESCRICAO
295,17.42-7/02,FABRICAÇÃO DE ABSORVENTES HIGIÊNICOS
296,17.42-7/99,FABRICAÇÃO DE PRODUTOS DE PAPEL PARA USO DOMÉSTICO E HIGIÊNICO SANITÁRIO NÃO ESPECIFICADOS ANTERIORMENTE
297,17.49-4/00,"FABRICAÇÃO DE PRODUTOS DE PASTAS CELULÓSICAS, PAPEL, CARTOLINA, PAPEL CARTÃO E PAPELÃO ONDULADO NÃO ESPECIFICADOS ANTERIORMENTE"
298,18.11-3/01,IMPRESSÃO DE JORNAIS
299,18.11-3/02,"IMPRESSÃO DE LIVROS, REVISTAS E OUTRAS PUBLICAÇÕES PERIÓDICAS"
300,18.12-1/00,IMPRESSÃO DE MATERIAL DE SEGURANÇA
301,18.13-0/01,IMPRESSÃO DE MATERIAL PARA USO PUBLICITÁRIO
302,18.13-0/99,IMPRESSÃO DE MATERIAL PARA OUTROS USOS
303,18.21-1/00,SERVIÇOS DE PRÉ IMPRESSÃO
304,18.22-9/01,SERVIÇOS DE ENCADERNAÇÃO E PLASTIFICAÇÃO
305,18.22-9/99,"SERVIÇOS DE ACABAMENTOS GRÁFICOS, EXCETO ENCADERNAÇÃO E PLASTIFICAÇÃO"
306,18.30-0/01,REPRODUÇÃO DE SOM EM QUALQUER SUPORTE
307,18.30-0/02,REPRODUÇÃO DE VÍDEO EM QUALQUER SUPORTE
308,18.30-0/03,REPRODUÇÃO DE SOFTWARE EM QUALQUER SUPORTE
309,19.10-1/00,COQUERIAS
310,19.21-7/00,FABRICAÇÃO DE PRODUTOS DO REFINO DE PETRÓLEO
311,19.22-5/01,FORMULAÇÃO DE COMBUSTÍVEIS
312,19.22-5/02,RERREFINO DE ÓLEOS LUBRIFICANTES
313,19.22-5/99,"FABRICAÇÃO DE OUTROS PRODUTOS DERIVADOS DO PETRÓLEO, EXCETO PRODUTOS DO REFINO"
314,19.31-4/00,FABRICAÇÃO DE ÁLCOOL
315,19.32-2/00,"FABRICAÇÃO DE BIOCOMBUSTÍVEIS, EXCETO ÁLCOOL"
316,20.11-8/00,FABRICAÇÃO DE CLORO E ÁLCALIS
317,20.12-6/00,FABRICAÇÃO DE INTERMEDIÁRIOS PARA FERTILIZANTES
318,20.13-4/01,FABRICAÇÃO DE ADUBOS E FERTILIZANTES ORGANOMINERAIS
319,20.13-4/02,"FABRICAÇÃO DE ADUBOS E FERTILIZANTES, EXCETO ORGANOMINERAIS"
320,20.14-2/00,FABRICAÇÃO DE GASES INDUSTRIAIS
321,20.19-3/01,ELABORAÇÃO DE COMBUSTÍVEIS NUCLEARES
322,20.19-3/99,FABRICAÇÃO DE OUTROS PRODUTOS QUÍMICOS INORGÂNICOS NÃO ESPECIFICADOS ANTERIORMENTE
323,20.21-5/00,FABRICAÇÃO DE PRODUTOS PETROQUÍMICOS BÁSICOS
324,20.22-3/00,"FABRICAÇÃO DE INTERMEDIÁRIOS PARA PLASTIFICANTES, RESINAS E FIBRAS"
325,20.29-1/00,FABRICAÇÃO DE PRODUTOS QUÍMICOS ORGÂNICOS NÃO ESPECIFICADOS ANTERIORMENTE
326,20.31-2/00,FABRICAÇÃO DE RESINAS TERMOPLÁSTICAS
327,20.32-1/00,FABRICAÇÃO DE RESINAS TERMOFIXAS
328,20.33-9/00,FABRICAÇÃO DE ELASTÔMEROS
329,20.40-1/00,FABRICAÇÃO DE FIBRAS ARTIFICIAIS E SINTÉTICAS
330,20.51-7/00,FABRICAÇÃO DE DEFENSIVOS AGRÍCOLAS
331,20.52-5/00,FABRICAÇÃO DE DESINFESTANTES DOMISSANITÁRIOS
332,20.61-4/00,FABRICAÇÃO DE SABÕES E DETERGENTES SINTÉTICOS
333,20.62-2/00,FABRICAÇÃO DE PRODUTOS DE LIMPEZA E POLIMENTO
334,20.63-1/00,"FABRICAÇÃO DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL"
335,20.71-1/00,"FABRICAÇÃO DE TINTAS, VERNIZES, ESMALTES E LACAS"
336,20.72-0/00,FABRICAÇÃO DE TINTAS DE IMPRESSÃO
337,20.73-8/00,"FABRICAÇÃO DE IMPERMEABILIZANTES, SOLVENTES E PRODUTOS AFINS"
338,20.91-6/00,FABRICAÇÃO DE ADESIVOS E SELANTES
339,20.92-4/01,"FABRICAÇÃO DE PÓLVORAS, EXPLOSIVOS E DETONANTES"
340,20.92-4/02,FABRICAÇÃO DE ARTIGOS PIROTÉCNICOS
341,20.92-4/03,FABRICAÇÃO DE FÓSFOROS DE SEGURANÇA
342,20.93-2/00,FABRICAÇÃO DE ADITIVOS DE USO INDUSTRIAL
343,20.94-1/00,FABRICAÇÃO DE CATALISADORES
344,20.99-1/01,"FABRICAÇÃO DE CHAPAS, FILMES, PAPÉIS E OUTROS MATERIAIS E PRODUTOS QUÍMICOS PARA FOTOGRAFIA"
345,20.99-1/99,FABRICAÇÃO DE OUTROS PRODUTOS QUÍMICOS NÃO ESPECIFICADOS ANTERIORMENTE
346,21.10-6/00,FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS
347,21.21-1/01,FABRICAÇÃO DE MEDICAMENTOS ALOPÁTICOS PARA USO HUMANO
348,21.21-1/02,FABRICAÇÃO DE MEDICAMENTOS HOMEOPÁTICOS PARA USO HUMANO
349,21.21-1/03,FABRICAÇÃO DE MEDICAMENTOS FITOTERÁPICOS PARA USO HUMANO
350,21.22-0/00,FABRICAÇÃO DE MEDICAMENTOS PARA USO VETERINÁRIO
351,21.23-8/00,FABRICAÇÃO DE PREPARAÇÕES FARMACÊUTICAS
352,22.11-1/00,FABRICAÇÃO DE PNEUMÁTICOS E DE CÂMARAS DE AR
353,22.12-9/00,REFORMA DE PNEUMÁTICOS USADOS
354,22.19-6/00,FABRICAÇÃO DE ARTEFATOS DE BORRACHA NÃO ESPECIFICADOS ANTERIORMENTE
355,22.21-8/00,FABRICAÇÃO DE LAMINADOS PLANOS E TUBULARES DE MATERIAL PLÁSTICO
356,22.22-6/00,FABRICAÇÃO DE EMBALAGENS DE MATERIAL PLÁSTICO
357,22.23-4/00,FABRICAÇÃO DE TUBOS E ACESSÓRIOS DE MATERIAL PLÁSTICO PARA USO NA CONSTRUÇÃO
358,22.29-3/01,FABRICAÇÃO DE ARTEFATOS DE MATERIAL PLÁSTICO PARA USO PESSOAL E DOMÉSTICO
359,22.29-3/02,FABRICAÇÃO DE ARTEFATOS DE MATERIAL PLÁSTICO PARA USOS INDUSTRIAIS
360,22.29-3/03,"FABRICAÇÃO DE ARTEFATOS DE MATERIAL PLÁSTICO PARA USO NA CONSTRUÇÃO, EXCETO TUBOS E ACESSÓRIOS"
361,22.29-3/99,FABRICAÇÃO DE ARTEFATOS DE MATERIAL PLÁSTICO PARA OUTROS USOS NÃO ESPECIFICADOS ANTERIORMENTE
362,23.11-7/00,FABRICAÇÃO DE VIDRO PLANO E DE SEGURANÇA
363,23.12-5/00,FABRICAÇÃO DE EMBALAGENS DE VIDRO
364,23.19-2/00,FABRICAÇÃO DE ARTIGOS DE VIDRO
365,23.20-6/00,FABRICAÇÃO DE CIMENTO
366,23.30-3/01,"FABRICAÇÃO DE ESTRUTURAS PRÉ MOLDADAS DE CONCRETO ARMADO, EM SÉRIE E SOB ENCOMENDA"
367,23.30-3/02,FABRICAÇÃO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUÇÃO
368,23.30-3/03,FABRICAÇÃO DE ARTEFATOS DE FIBROCIMENTO PARA USO NA CONSTRUÇÃO
369,23.30-3/04,FABRICAÇÃO DE CASAS PRÉ MOLDADAS DE CONCRETO
370,23.30-3/05,PREPARAÇÃO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUÇÃO
371,23.30-3/99,"FABRICAÇÃO DE OUTROS ARTEFATOS E PRODUTOS DE CONCRETO, CIMENTO, FIBROCIMENTO, GESSO E MATERIAIS SEMELHANTES"
372,23.41-9/00,FABRICAÇÃO DE PRODUTOS CERÂMICOS REFRATÁRIOS
373,23.42-7/01,FABRICAÇÃO DE AZULEJOS E PISOS
374,23.42-7/02,"FABRICAÇÃO DE ARTEFATOS DE CERÂMICA E BARRO COZIDO PARA USO NA CONSTRUÇÃO, EXCETO AZULEJOS E PISOS"
375,23.49-4/01,FABRICAÇÃO DE MATERIAL SANITÁRIO DE CERÂMICA
376,23.49-4/99,FABRICAÇÃO DE PRODUTOS CERÂMICOS NÃO REFRATÁRIOS NÃO ESPECIFICADOS ANTERIORMENTE
377,23.91-5/01,"BRITAMENTO DE PEDRAS, EXCETO ASSOCIADO À EXTRAÇÃO"
378,23.91-5/02,"APARELHAMENTO DE PEDRAS PARA CONSTRUÇÃO, EXCETO ASSOCIADO À EXTRAÇÃO"
379,23.91-5/03,"APARELHAMENTO DE PLACAS E EXECUÇÃO DE TRABALHOS EM MÁRMORE, GRANITO, ARDÓSIA E OUTRAS PEDRAS"
380,23.92-3/00,FABRICAÇÃO DE CAL E GESSO
381,23.99-1/01,"DECORAÇÃO, LAPIDAÇÃO, GRAVAÇÃO, VITRIFICAÇÃO E OUTROS TRABALHOS EM CERÂMICA, LOUÇA, VIDRO E CRISTAL"
382,23.99-1/02,FABRICAÇÃO DE ABRASIVOS
383,23.99-1/99,FABRICAÇÃO DE OUTROS PRODUTOS DE MINERAIS NÃO METÁLICOS NÃO ESPECIFICADOS ANTERIORMENTE
384,24.11-3/00,PRODUÇÃO DE FERRO GUSA
385,24.12-1/00,PRODUÇÃO DE FERROLIGAS
386,24.21-1/00,PRODUÇÃO DE SEMI ACABADOS DE AÇO
387,24.22-9/01,"PRODUÇÃO DE LAMINADOS PLANOS DE AÇO AO CARBONO, REVESTIDOS OU NÃO"
388,24.22-9/02,PRODUÇÃO DE LAMINADOS PLANOS DE AÇOS ESPECIAIS
389,24.23-7/01,PRODUÇÃO DE TUBOS DE AÇO SEM COSTURA
390,24.23-7/02,"PRODUÇÃO DE LAMINADOS LONGOS DE AÇO, EXCETO TUBOS"
391,24.24-5/01,PRODUÇÃO DE ARAMES DE AÇO
392,24.24-5/02,"PRODUÇÃO DE RELAMINADOS, TREFILADOS E PERFILADOS DE AÇO, EXCETO ARAMES"
393,24.31-8/00,PRODUÇÃO DE TUBOS DE AÇO COM COSTURA
394,24.39-3/00,PRODUÇÃO DE OUTROS TUBOS DE FERRO E AÇO
395,24.41-5/01,PRODUÇÃO DE ALUMÍNIO E SUAS LIGAS EM FORMAS PRIMÁRIAS
396,24.41-5/02,PRODUÇÃO DE LAMINADOS DE ALUMÍNIO
397,24.42-3/00,METALURGIA DOS METAIS PRECIOSOS
398,24.43-1/00,METALURGIA DO COBRE
399,24.49-1/01,PRODUÇÃO DE ZINCO EM FORMAS PRIMÁRIAS
400,24.49-1/02,PRODUÇÃO DE LAMINADOS DE ZINCO
401,24.49-1/03,FABRICAÇÃO DE ÂNODOS PARA GALVANOPLASTIA
402,24.49-1/99,METALURGIA DE OUTROS METAIS NÃO FERROSOS E SUAS LIGAS NÃO ESPECIFICADOS ANTERIORMENTE
403,24.51-2/00,FUNDIÇÃO DE FERRO E AÇO
404,24.52-1/00,FUNDIÇÃO DE METAIS NÃO FERROSOS E SUAS LIGAS
405,25.11-0/00,FABRICAÇÃO DE ESTRUTURAS METÁLICAS
406,25.12-8/00,FABRICAÇÃO DE ESQUADRIAS DE METAL
407,25.13-6/00,FABRICAÇÃO DE OBRAS DE CALDEIRARIA PESADA
408,25.21-7/00,"FABRICAÇÃO DE TANQUES, RESERVATÓRIOS METÁLICOS E CALDEIRAS PARA AQUECIMENTO CENTRAL"
409,25.22-5/00,"FABRICAÇÃO DE CALDEIRAS GERADORAS DE VAPOR, EXCETO PARA AQUECIMENTO CENTRAL E PARA VEÍCULOS"
410,25.31-4/01,PRODUÇÃO DE FORJADOS DE AÇO
411,25.31-4/02,PRODUÇÃO DE FORJADOS DE METAIS NÃO FERROSOS E SUAS LIGAS
412,25.32-2/01,PRODUÇÃO DE ARTEFATOS ESTAMPADOS DE METAL
413,25.32-2/02,METALURGIA DO PÓ
414,25.39-0/01,"SERVIÇOS DE USINAGEM, TORNEARIA E SOLDA"
415,25.39-0/02,SERVIÇOS DE TRATAMENTO E REVESTIMENTO EM METAIS
416,25.41-1/00,FABRICAÇÃO DE ARTIGOS DE CUTELARIA
417,25.42-0/00,"FABRICAÇÃO DE ARTIGOS DE SERRALHERIA, EXCETO ESQUADRIAS"
418,25.43-8/00,FABRICAÇÃO DE FERRAMENTAS
419,25.50-1/01,"FABRICAÇÃO DE EQUIPAMENTO BÉLICO PESADO, EXCETO VEÍCULOS MILITARES DE COMBATE"
420,25.50-1/02,"FABRICAÇÃO DE ARMAS DE FOGO, OUTRAS ARMAS E MUNIÇÕES"
421,25.91-8/00,FABRICAÇÃO DE EMBALAGENS METÁLICAS
422,25.92-6/01,FABRICAÇÃO DE PRODUTOS DE TREFILADOS DE METAL PADRONIZADOS
423,25.92-6/02,"FABRICAÇÃO DE PRODUTOS DE TREFILADOS DE METAL, EXCETO PADRONIZADOS"
424,25.93-4/00,FABRICAÇÃO DE ARTIGOS DE METAL PARA USO DOMÉSTICO E PESSOAL
425,25.99-3/01,SERVIÇOS DE CONFECÇÃO DE ARMAÇÕES METÁLICAS PARA A CONSTRUÇÃO
426,25.99-3/02,SERVIÇO DE CORTE E DOBRA DE METAIS
427,25.99-3/99,FABRICAÇÃO DE OUTROS PRODUTOS DE METAL NÃO ESPECIFICADOS ANTERIORMENTE
428,26.10-8/00,FABRICAÇÃO DE COMPONENTES ELETRÔNICOS
429,26.21-3/00,FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA
430,26.22-1/00,FABRICAÇÃO DE PERIFÉRICOS PARA EQUIPAMENTOS DE INFORMÁTICA
431,26.31-1/00,"FABRICAÇÃO DE EQUIPAMENTOS TRANSMISSORES DE COMUNICAÇÃO, PEÇAS E ACESSÓRIOS"
432,26.32-9/00,"FABRICAÇÃO DE APARELHOS TELEFÔNICOS E DE OUTROS EQUIPAMENTOS DE COMUNICAÇÃO, PEÇAS E ACESSÓRIOS"
433,26.40-0/00,"FABRICAÇÃO DE APARELHOS DE RECEPÇÃO, REPRODUÇÃO, GRAVAÇÃO E AMPLIFICAÇÃO DE ÁUDIO E VÍDEO"
434,26.51-5/00,"FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS DE MEDIDA, TESTE E CONTROLE"
435,26.52-3/00,FABRICAÇÃO DE CRONÔMETROS E RELÓGIOS
436,26.60-4/00,FABRICAÇÃO DE APARELHOS ELETROMÉDICOS E ELETROTERAPÊUTICOS E EQUIPAMENTOS DE IRRADIAÇÃO
437,26.70-1/01,"FABRICAÇÃO DE EQUIPAMENTOS E INSTRUMENTOS ÓPTICOS, PEÇAS E ACESSÓRIOS"
438,26.70-1/02,"FABRICAÇÃO DE APARELHOS FOTOGRÁFICOS E CINEMATOGRÁFICOS, PEÇAS E ACESSÓRIOS"
439,26.80-9/00,"FABRICAÇÃO DE MÍDIAS VIRGENS, MAGNÉTICAS E ÓPTICAS"
440,27.10-4/01,"FABRICAÇÃO DE GERADORES DE CORRENTE CONTÍNUA E ALTERNADA, PEÇAS E ACESSÓRIOS"
441,27.10-4/02,"FABRICAÇÃO DE TRANSFORMADORES, INDUTORES, CONVERSORES, SINCRONIZADORES E SEMELHANTES, PEÇAS E ACESSÓRIOS"
442,27.10-4/03,"FABRICAÇÃO DE MOTORES ELÉTRICOS, PEÇAS E ACESSÓRIOS"
443,27.21-0/00,"FABRICAÇÃO DE PILHAS, BATERIAS E ACUMULADORES ELÉTRICOS, EXCETO PARA VEÍCULOS AUTOMOTORES"
444,27.22-8/01,FABRICAÇÃO DE BATERIAS E ACUMULADORES PARA VEÍCULOS AUTOMOTORES
445,27.22-8/02,RECONDICIONAMENTO DE BATERIAS E ACUMULADORES PARA VEÍCULOS AUTOMOTORES
446,27.31-7/00,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
447,27.32-5/00,FABRICAÇÃO DE MATERIAL ELÉTRICO PARA INSTALAÇÕES EM CIRCUITO DE CONSUMO
448,27.33-3/00,"FABRICAÇÃO DE FIOS, CABOS E CONDUTORES ELÉTRICOS ISOLADOS"
449,27.40-6/01,FABRICAÇÃO DE LÂMPADAS
450,27.40-6/02,FABRICAÇÃO DE LUMINÁRIAS E OUTROS EQUIPAMENTOS DE ILUMINAÇÃO
451,27.51-1/00,"FABRICAÇÃO DE FOGÕES, REFRIGERADORES E MÁQUINAS DE LAVAR E SECAR PARA USO DOMÉSTICO, PEÇAS E ACESSÓRIOS"
452,27.59-7/01,"FABRICAÇÃO DE APARELHOS ELÉTRICOS DE USO PESSOAL, PEÇAS E ACESSÓRIOS"
453,27.59-7/99,"FABRICAÇÃO DE OUTROS APARELHOS ELETRODOMÉSTICOS NÃO ESPECIFICADOS ANTERIORMENTE, PEÇAS E ACESSÓRIOS"
454,27.90-2/01,"FABRICAÇÃO DE ELETRODOS, CONTATOS E OUTROS ARTIGOS DE CARVÃO E GRAFITA PARA USO ELÉTRICO, ELETROÍMÃS E ISOLADORES"
455,27.90-2/02,FABRICAÇÃO DE EQUIPAMENTOS PARA SINALIZAÇÃO E ALARME
456,27.90-2/99,FABRICAÇÃO DE OUTROS EQUIPAMENTOS E APARELHOS ELÉTRICOS NÃO ESPECIFICADOS ANTERIORMENTE
457,28.11-9/00,"FABRICAÇÃO DE MOTORES E TURBINAS, PEÇAS E ACESSÓRIOS, EXCETO PARA AVIÕES E VEÍCULOS RODOVIÁRIOS"
458,28.12-7/00,"FABRICAÇÃO DE EQUIPAMENTOS HIDRÁULICOS E PNEUMÁTICOS, PEÇAS E ACESSÓRIOS, EXCETO VÁLVULAS"
459,28.13-5/00,"FABRICAÇÃO DE VÁLVULAS, REGISTROS E DISPOSITIVOS SEMELHANTES, PEÇAS E ACESSÓRIOS"
460,28.14-3/01,"FABRICAÇÃO DE COMPRESSORES PARA USO INDUSTRIAL, PEÇAS E ACESSÓRIOS"
461,28.14-3/02,"FABRICAÇÃO DE COMPRESSORES PARA USO NÃO INDUSTRIAL, PEÇAS E ACESSÓRIOS"
462,28.15-1/01,FABRICAÇÃO DE ROLAMENTOS PARA FINS INDUSTRIAIS
463,28.15-1/02,"FABRICAÇÃO DE EQUIPAMENTOS DE TRANSMISSÃO PARA FINS INDUSTRIAIS, EXCETO ROLAMENTOS"
464,28.21-6/01,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
465,28.21-6/02,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
466,28.22-4/01,"FABRICAÇÃO DE MÁQUINAS, EQUIPAMENTOS E APARELHOS PARA TRANSPORTE E ELEVAÇÃO DE PESSOAS, PEÇAS E ACESSÓRIOS"
467,28.22-4/02,"FABRICAÇÃO DE MÁQUINAS, EQUIPAMENTOS E APARELHOS PARA TRANSPORTE E ELEVAÇÃO DE CARGAS, PEÇAS E ACESSÓRIOS"
468,28.23-2/00,"FABRICAÇÃO DE MÁQUINAS E APARELHOS DE REFRIGERAÇÃO E VENTILAÇÃO PARA USO INDUSTRIAL E COMERCIAL, PEÇAS E ACESSÓRIOS"
469,28.24-1/01,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS DE AR CONDICIONADO PARA USO INDUSTRIAL
470,28.24-1/02,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS DE AR CONDICIONADO PARA USO NÃO INDUSTRIAL
471,28.25-9/00,"FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA SANEAMENTO BÁSICO E AMBIENTAL, PEÇAS E ACESSÓRIOS"
472,28.29-1/01,"FABRICAÇÃO DE MÁQUINAS DE ESCREVER, CALCULAR E OUTROS EQUIPAMENTOS NÃO ELETRÔNICOS PARA ESCRITÓRIO, PEÇAS E ACESSÓRIOS"
473,28.29-1/99,"FABRICAÇÃO DE OUTRAS MÁQUINAS E EQUIPAMENTOS DE USO GERAL NÃO ESPECIFICADOS ANTERIORMENTE, PEÇAS E ACESSÓRIOS"
474,28.31-3/00,"FABRICAÇÃO DE TRATORES AGRÍCOLAS, PEÇAS E ACESSÓRIOS"
475,28.32-1/00,"FABRICAÇÃO DE EQUIPAMENTOS PARA IRRIGAÇÃO AGRÍCOLA, PEÇAS E ACESSÓRIOS"
476,28.33-0/00,"FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA A AGRICULTURA E PECUÁRIA, PEÇAS E ACESSÓRIOS, EXCETO PARA IRRIGAÇÃO"
477,28.40-2/00,"FABRICAÇÃO DE MÁQUINAS FERRAMENTA, PEÇAS E ACESSÓRIOS"
478,28.51-8/00,"FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA A PROSPECÇÃO E EXTRAÇÃO DE PETRÓLEO, PEÇAS E ACESSÓRIOS"
479,28.52-6/00,"FABRICAÇÃO DE OUTRAS MÁQUINAS E EQUIPAMENTOS PARA USO NA EXTRAÇÃO MINERAL, PEÇAS E ACESSÓRIOS, EXCETO NA EXTRAÇÃO DE PETRÓLEO"
480,28.53-4/00,"FABRICAÇÃO DE TRATORES, PEÇAS E ACESSÓRIOS, EXCETO AGRÍCOLAS"
481,28.54-2/00,"FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA TERRAPLENAGEM, PAVIMENTAÇÃO E CONSTRUÇÃO, PEÇAS E ACESSÓRIOS, EXCETO TRATORES"
482,28.61-5/00,"FABRICAÇÃO DE MÁQUINAS PARA A INDÚSTRIA METALÚRGICA, PEÇAS E ACESSÓRIOS, EXCETO MÁQUINAS FERRAMENTA"
483,28.62-3/00,"FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA AS INDÚSTRIAS DE ALIMENTOS, BEBIDAS E FUMO, PEÇAS E ACESSÓRIOS"
484,28.63-1/00,"FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA A INDÚSTRIA TÊXTIL, PEÇAS E ACESSÓRIOS"
485,28.64-0/00,"FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA AS INDÚSTRIAS DO VESTUÁRIO, DO COURO E DE CALÇADOS, PEÇAS E ACESSÓRIOS"
486,28.65-8/00,"FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA AS INDÚSTRIAS DE CELULOSE, PAPEL E PAPELÃO E ARTEFATOS, PEÇAS E ACESSÓRIOS"
487,28.66-6/00,"FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA A INDÚSTRIA DO PLÁSTICO, PEÇAS E ACESSÓRIOS"
488,28.69-1/00,"FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA USO INDUSTRIAL ESPECÍFICO NÃO ESPECIFICADOS ANTERIORMENTE, PEÇAS E ACESSÓRIOS"
489,29.10-7/01,"FABRICAÇÃO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS"
490,29.10-7/02,"FABRICAÇÃO DE CHASSIS COM MOTOR PARA AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS"
491,29.10-7/03,"FABRICAÇÃO DE MOTORES PARA AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS"
492,29.20-4/01,FABRICAÇÃO DE CAMINHÕES E ÔNIBUS
493,29.20-4/02,FABRICAÇÃO DE MOTORES PARA CAMINHÕES E ÔNIBUS
494,29.30-1/01,"FABRICAÇÃO DE CABINES, CARROCERIAS E REBOQUES PARA CAMINHÕES"
495,29.30-1/02,FABRICAÇÃO DE CARROCERIAS PARA ÔNIBUS
496,29.30-1/03,"FABRICAÇÃO DE CABINES, CARROCERIAS E REBOQUES PARA OUTROS VEÍCULOS AUTOMOTORES, EXCETO CAMINHÕES E ÔNIBUS"
497,29.41-7/00,FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA O SISTEMA MOTOR DE VEÍCULOS AUTOMOTORES
498,29.42-5/00,FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA OS SISTEMAS DE MARCHA E TRANSMISSÃO DE VEÍCULOS AUTOMOTORES
499,29.43-3/00,FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA O SISTEMA DE FREIOS DE VEÍCULOS AUTOMOTORES
500,29.44-1/00,FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA O SISTEMA DE DIREÇÃO E SUSPENSÃO DE VEÍCULOS AUTOMOTORES
501,29.45-0/00,"FABRICAÇÃO DE MATERIAL ELÉTRICO E ELETRÔNICO PARA VEÍCULOS AUTOMOTORES, EXCETO BATERIAS"
502,29.49-2/01,FABRICAÇÃO DE BANCOS E ESTOFADOS PARA VEÍCULOS AUTOMOTORES
503,29.49-2/99,FABRICAÇÃO DE OUTRAS PEÇAS E ACESSÓRIOS PARA VEÍCULOS AUTOMOTORES NÃO ESPECIFICADAS ANTERIORMENTE
504,29.50-6/00,RECONDICIONAMENTO E RECUPERAÇÃO DE MOTORES PARA VEÍCULOS AUTOMOTORES
505,30.11-3/01,CONSTRUÇÃO DE EMBARCAÇÕES DE GRANDE PORTE
506,30.11-3/02,"CONSTRUÇÃO DE EMBARCAÇÕES PARA USO COMERCIAL E PARA USOS ESPECIAIS, EXCETO DE GRANDE PORTE"
507,30.12-1/00,CONSTRUÇÃO DE EMBARCAÇÕES PARA ESPORTE E LAZER
508,30.31-8/00,"FABRICAÇÃO DE LOCOMOTIVAS, VAGÕES E OUTROS MATERIAIS RODANTES"
509,30.32-6/00,FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA VEÍCULOS FERROVIÁRIOS
510,30.41-5/00,FABRICAÇÃO DE AERONAVES
511,30.42-3/00,"FABRICAÇÃO DE TURBINAS, MOTORES E OUTROS COMPONENTES E PEÇAS PARA AERONAVES"
512,30.50-4/00,FABRICAÇÃO DE VEÍCULOS MILITARES DE COMBATE
513,30.91-1/01,FABRICAÇÃO DE MOTOCICLETAS
514,30.91-1/02,FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA MOTOCICLETAS
515,30.92-0/00,"FABRICAÇÃO DE BICICLETAS E TRICICLOS NÃO MOTORIZADOS, PEÇAS E ACESSÓRIOS"
516,30.99-7/00,FABRICAÇÃO DE EQUIPAMENTOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE
517,31.01-2/00,FABRICAÇÃO DE MÓVEIS COM PREDOMINÂNCIA DE MADEIRA
518,31.02-1/00,FABRICAÇÃO DE MÓVEIS COM PREDOMINÂNCIA DE METAL
519,31.03-9/00,"FABRICAÇÃO DE MÓVEIS DE OUTROS MATERIAIS, EXCETO MADEIRA E METAL"
520,31.04-7/00,FABRICAÇÃO DE COLCHÕES
521,32.11-6/01,LAPIDAÇÃO DE GEMAS
522,32.11-6/02,FABRICAÇÃO DE ARTEFATOS DE JOALHERIA E OURIVESARIA
523,32.11-6/03,CUNHAGEM DE MOEDAS E MEDALHAS
524,32.12-4/00,FABRICAÇÃO DE BIJUTERIAS E ARTEFATOS SEMELHANTES
525,32.20-5/00,"FABRICAÇÃO DE INSTRUMENTOS MUSICAIS, PEÇAS E ACESSÓRIOS"
526,32.30-2/00,FABRICAÇÃO DE ARTEFATOS PARA PESCA E ESPORTE
527,32.40-0/01,FABRICAÇÃO DE JOGOS ELETRÔNICOS
528,32.40-0/02,"FABRICAÇÃO DE MESAS DE BILHAR, DE SINUCA E ACESSÓRIOS NÃO ASSOCIADA À LOCAÇÃO"
