ID,CNAE,DESCRICAO
89,02.10-1/07,EXTRAÇÃO DE MADEIRA EM FLORESTAS PLANTADAS
90,02.10-1/08,PRODUÇÃO DE CARVÃO VEGETAL - FLORESTAS PLANTADAS
91,02.10-1/09,PRODUÇÃO DE CASCA DE ACÁCIA NEGRA - FLORESTAS PLANTADAS
92,02.10-1/99,PRODUÇÃO DE PRODUTOS NÃO MADEIREIROS NÃO ESPECIFICADOS ANTERIORMENTE EM FLORESTAS PLANTADAS
93,02.20-9/01,EXTRAÇÃO DE MADEIRA EM FLORESTAS NATIVAS
94,02.20-9/02,PRODUÇÃO DE CARVÃO VEGETAL - FLORESTAS NATIVAS
95,02.20-9/03,COLETA DE CASTANHA DO PARÁ EM FLORESTAS NATIVAS
96,02.20-9/04,COLETA DE LÁTEX EM FLORESTAS NATIVAS
97,02.20-9/05,COLETA DE PALMITO EM FLORESTAS NATIVAS
98,02.20-9/06,CONSERVAÇÃO DE FLORESTAS NATIVAS
99,02.20-9/99,COLETA DE PRODUTOS NÃO MADEIREIROS NÃO ESPECIFICADOS ANTERIORMENTE EM FLORESTAS NATIVAS
100,02.30-6/00,ATIVIDADES DE APOIO À PRODUÇÃO FLORESTAL
101,03.11-6/01,PESCA DE PEIXES EM ÁGUA SALGADA
102,03.11-6/02,PESCA DE CRUSTÁCEOS E MOLUSCOS EM ÁGUA SALGADA
103,03.11-6/03,COLETA DE OUTROS PRODUTOS MARINHOS
104,03.11-6/04,ATIVIDADES DE APOIO À PESCA EM ÁGUA SALGADA
105,03.12-4/01,PESCA DE PEIXES EM ÁGUA DOCE
106,03.12-4/02,PESCA DE CRUSTÁCEOS E MOLUSCOS EM ÁGUA DOCE
107,03.12-4/03,COLETA DE OUTROS PRODUTOS AQUÁTICOS DE ÁGUA DOCE
108,03.12-4/04,ATIVIDADES DE APOIO À PESCA EM ÁGUA DOCE
109,03.21-3/01,CRIAÇÃO DE PEIXES EM ÁGUA SALGADA E SALOBRA
110,03.21-3/02,CRIAÇÃO DE CAMARÕES EM ÁGUA SALGADA E SALOBRA
111,03.21-3/03,CRIAÇÃO DE OSTRAS E MEXILHÕES EM ÁGUA SALGADA E SALOBRA
112,03.21-3/04,CRIAÇÃO DE PEIXES ORNAMENTAIS EM ÁGUA SALGADA E SALOBRA
113,03.21-3/05,ATIVIDADES DE APOIO À AQÜICULTURA EM ÁGUA SALGADA E SALOBRA
114,03.21-3/99,CULTIVOS E SEMICULTIVOS DA AQÜICULTURA EM ÁGUA SALGADA E SALOBRA NÃO ESPECIFICADOS ANTERIORMENTE
115,03.22-1/01,CRIAÇÃO DE PEIXES EM ÁGUA DOCE
116,03.22-1/02,CRIAÇÃO DE CAMARÕES EM ÁGUA DOCE
117,03.22-1/03,CRIAÇÃO DE OSTRAS E MEXILHÕES EM ÁGUA DOCE
118,03.22-1/04,CRIAÇÃO DE PEIXES ORNAMENTAIS EM ÁGUA DOCE
119,03.22-1/05,RANICULTURA
120,03.22-1/06,CRIAÇÃO DE JACARÉ
121,03.22-1/07,ATIVIDADES DE APOIO À AQÜICULTURA EM ÁGUA DOCE
122,03.22-1/99,CULTIVOS E SEMICULTIVOS DA AQÜICULTURA EM ÁGUA DOCE NÃO ESPECIFICADOS ANTERIORMENTE
123,05.00-3/01,EXTRAÇÃO DE CARVÃO MINERAL
124,05.00-3/02,BENEFICIAMENTO DE CARVÃO MINERAL
125,06.00-0/01,EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL
126,06.00-0/02,EXTRAÇÃO E BENEFICIAMENTO DE XISTO
127,06.00-0/03,EXTRAÇÃO E BENEFICIAMENTO DE AREIAS BETUMINOSAS
128,07.10-3/01,EXTRAÇÃO DE MINÉRIO DE FERRO
129,07.10-3/02,"PELOTIZAÇÃO, SINTERIZAÇÃO E OUTROS BENEFICIAMENTOS DE MINÉRIO DE FERRO"
130,07.21-9/01,EXTRAÇÃO DE MINÉRIO DE ALUMÍNIO
